Marked,Sentence,Actual Triples,System Triples,Cited
Test Sentence,"Here, we found that ADA2 binds to neutrophils, monocytes, NK cells and B cells that do not express CD26, a receptor for ADA1.","['ADA2', 'binds', 'neutrophils and monocytes and cells and cells']","[['ADA2', 'binds', 'neutrophils and monocytes and cells and cells']]","27663683, 2017, Human adenosine deaminases ADA1 and ADA2 bind to different subsets of immune cells, Cell Mol Life Sci"
Test Sentence,The drugs mentioned above can tightly bind to the RdRp of the SARS-CoV-2 strain and thus may be used to treat the disease.,"['drugs', 'bind', 'RdRp']","[['drugs', 'bind', 'RdRp']]","32222463, 2020, Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir Against SARS-CoV-2 RNA Dependent RNA Polymerase (RdRp): A Molecular Docking Study, Life Sci"
Test Sentence,"The sgRNA-Cas9 complex binds to its target and creates a double-strand break  that can be repaired by non-homologous end joining  or by the homology-directed repair  pathway, modifying or permanently replacing the genomic target sequence.","['complex', 'binds', 'target']",[],"27836667, 2017, Exploring the Potential of Genome Editing CRISPR-Cas9 Technology, Gene"
Test Sentence,"Prophylactic prevention of infection requires dietary vitamin C intakes that provide at least adequate, if not saturating plasma levels , which optimize cell and tissue levels.","['prevention', 'requires', 'intakes']","[['prevention', 'requires', 'intakes']]","29099763, 2017, Vitamin C and Immune Function, Nutrients"
Test Sentence,Episodic memories initially require rapid synaptic plasticity within the hippocampus for their formation and are gradually consolidated in neocortical networks for permanent storage.,"['memories', 'require', 'plasticity']","[['memories', 'require', 'plasticity']]","28386011, 2017, Engrams and Circuits Crucial for Systems Consolidation of a Memory, Science"
Test Sentence,"Interestingly, this LTP induction required inhibitory synaptic transmission mediated by GABAA and glycine receptors, and coincided with the slow development of LTD at GABAergic synapses.","['induction', 'required', 'transmission']","[['induction', 'required', 'transmission']]","26620765, 2016, Essential Roles of mGluR1 and Inhibitory Synaptic Transmission in NMDA-independent Long-Term Potentiation in the Spinal Trigeminal Interpolaris, Life Sci"
Test Sentence,"It requires a custom designed single guide-RNA , a Cas9 endonuclease, and PAM sequences in the target region.","['It', 'requires', 'custom']","[['It', 'requires', 'sequences']]","27836667, 2017, Exploring the Potential of Genome Editing CRISPR-Cas9 Technology, Gene"
Test Sentence,"A total of 148 animal studies indicated that vitamin C may alleviate or prevent infections caused by bacteria, viruses, and protozoa.","['vitamin C', 'prevent', 'infections']","[['vitamin C', 'prevent', 'infections']]","28353648, 2017, Vitamin C and Infections, Nutrients"
Test Sentence,Several preclinical studies demonstrate that neurotrophins  prevent RGC loss.,"['neurotrophins', 'prevent', 'loss']",[],"29098325, 2018, Neurotrophin-conjugated nanoparticles prevent retina damage induced by oxidative stress, Cell Mol Life Sci"
Test Sentence,Our data confirm that chrysin could prevent brain inflammation and thereby prevents cognitive and LTP impairments due to cerebral ischemia.,"['chrysin', 'prevent', 'inflammation']","[['chrysin', 'prevent', 'inflammation'], ['chrysin', 'prevents', 'impairments']]","30991061, 2019, Chrysin Prevents Cognitive and Hippocampal Long-Term Potentiation Deficits and Inflammation in Rat With Cerebral Hypoperfusion and Reperfusion Injury, Life Sci"
Test Sentence,"NMDA-induced superoxide formation was prevented by the channel blockers, restored by concurrent Ca2+ influx through ionomycin or voltage-gated calcium channels, and not induced by the Ca2+ influx in the absence of NMDAR ligand binding.","['formation', 'was prevented by', 'blockers']","[['formation', 'was prevented by', 'blockers']]","30504838, 2018, Excitotoxic superoxide production and neuronal death require both ionotropic and non-ionotropic NMDA receptor signaling, Sci Rep"
